an,nr_rezidenti,masini_total,masini_total_adj,vanzari_stb,vanzari_stb_adj
2012,1886866,892986,892986,175110000,175110000.00
2013,1875389,901129,901129,182080000,182080000.00
2014,1865563,924213,924213,183610000,183610000.00
2015,1853638,957068,957068,175530000,175530000.00
2016,1843962,1004137,1004137,175090000,175090000.00
2017,1826579,1058317,1058317,175390000,175390000.00
2018,1828869,1107190,1107190,180140000,180140000.00
2019,1832802,1169376,1169376,191350000,191350000.00
2020,1841052,1204201,1184717,130920000,184013214.29
2021,1828781,1227038,1225365,177151686.14,184952261.90
2022,1722974,1256122,1256122,241288565.96,241288565.96
2023,1724966,1277866,1277866,265406298.79,265406298.79
2024,1721784,1313154,1313154,286353434.93,286353434.93
